name	version	archive_sha256	unpacked_source
pbkdf2	0.11.0	83a0692ec44e4cf1ef28ca317f14f8f07da2d95ec3fa01f86e4467b725e60917	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/pbkdf2-0.11.0
pkcs8	0.10.2	f950b2377845cebe5cf8b5165cb3cc1a5e0fa5cfa3e1f7f55707d8fd82e0a7b7	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/pkcs8-0.10.2
ppv-lite86	0.2.21	85eae3c4ed2f50dcfe72643da4befc30deadb458a9b590d720cde2f2b1e97da9	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/ppv-lite86-0.2.21
proc-macro2	1.0.107	985e7ec9bb745e6ce6535b544d84d6cd6f7ad8bd711c398938ae983b91a766d9	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/proc-macro2-1.0.107
quote	1.0.47	1fbf4db142a473a8d80c26bbf18454ed458bf8d26c8219c331daecfdbd079001	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/quote-1.0.47
r-efi	5.3.0	69cdb34c158ceb288df11e18b4bd39de994f6657d83847bdffdbd7f346754b0f	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/r-efi-5.3.0
rand	0.9.5	b9ef1d0d795eb7d84685bca4f72f3649f064e6641543d3a8c415898726a57b41	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/rand-0.9.5
rand_chacha	0.9.0	d3022b5f1df60f26e1ffddd6c66e8aa15de382ae63b3a0c1bfc0e4d3e3f325cb	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/rand_chacha-0.9.0
rand_core	0.6.4	ec0be4795e2f6a28069bec0b5ff3e2ac9bafc99e6a9a7dc3547996c5c816922c	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/rand_core-0.6.4
rand_core	0.9.5	76afc826de14238e6e8c374ddcc1fa19e374fd8dd986b0d2af0d02377261d83c	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/rand_core-0.9.5
rustc_version	0.4.1	cfcb3a22ef46e85b45de6ee7e79d063319ebb6594faafcf1c225ea92ab6e9b92	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/rustc_version-0.4.1
semver	1.0.28	8a7852d02fc848982e0c167ef163aaff9cd91dc640ba85e263cb1ce46fae51cd	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/semver-1.0.28
serde	1.0.228	9a8e94ea7f378bd32cbbd37198a4a91436180c5bb472411e48b5ec2e2124ae9e	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/serde-1.0.228
serde_core	1.0.228	41d385c7d4ca58e59fc732af25c3983b67ac852c1a25000afe1175de458b67ad	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/serde_core-1.0.228
serde_derive	1.0.228	d540f220d3187173da220f885ab66608367b6574e925011a9353e4badda91d79	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/serde_derive-1.0.228
serde_json	1.0.151	c841b55ecdae098c80dcae9cf767f6f8a0c2cdb3416bbef72181df4d0fe73f14	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/serde_json-1.0.151
sha2	0.10.9	a7507d819769d01a365ab707794a4084392c824f54a7a6a7862f8c3d0892b283	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/sha2-0.10.9
signature	2.2.0	77549399552de45a898a580c1b41d445bf730df867cc44e6c0233bbc4b8329de	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/signature-2.2.0
solana-account-info	3.1.1	a9cf16495d9eb53e3d04e72366a33bb1c20c24e78c171d8b8f5978357b63ae95	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/solana-account-info-3.1.1
solana-address	2.6.1	39c93e262f671bf402e1040e4a7e40b05d81da5956c7681948c975a0997517bb	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/solana-address-2.6.1
solana-cpi	3.1.0	4dea26709d867aada85d0d3617db0944215c8bb28d3745b912de7db13a23280c	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/solana-cpi-3.1.0
solana-define-syscall	4.0.1	57e5b1c0bc1d4a4d10c88a4100499d954c09d3fecfae4912c1a074dff68b1738	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/solana-define-syscall-4.0.1
