# direct-r10 frame audit, one row per disassembled function region
# max_offset	references	provenance	symbol
# regions=1077 first_party_regions=927 deepest=4096 at _ZN10clutch_sbf11claim_truth21observe_outcome_mints
 4096	    88	first-party	_ZN10clutch_sbf12instructions7genesis24ensure_endow_owner_plane
 4096	    91	first-party	_ZN10clutch_sbf12instructions12orders_batch10clear_walk19complete_clear_work
 4096	    91	first-party	_ZN10clutch_sbf12instructions12orders_batch16terminal_closure21create_funding_ledger
 4096	    92	first-party	_ZN10clutch_sbf12instructions15resolution_work5abort
 4096	    93	first-party	_ZN10clutch_sbf12instructions15resolution_work24finalize_state_projected
 4096	    95	first-party	_ZN10clutch_sbf12instructions12orders_batch16terminal_closure23close_general_candidate
 4096	    99	first-party	_ZN10clutch_sbf12instructions12construction24create_owner_state_plane
 4096	    99	first-party	_ZN10clutch_sbf14source_archive30verify_recorded_sealed_archive
 4096	    99	first-party	_ZN10clutch_sbf17source_archive_v233verify_recorded_sealed_archive_v2
 4096	   100	first-party	_ZN10clutch_sbf12instructions13source_ingest17read_frozen_terms
 4096	   101	first-party	_ZN10clutch_sbf12instructions15resolution_work19fold_state_in_place
 4096	   101	first-party	_ZN10clutch_sbf17source_archive_v223append_authenticated_v2
 4096	   104	first-party	_ZN10clutch_sbf12instructions15resolution_work24create_zero_data_reserve
 4096	   105	first-party	_ZN10clutch_sbf12instructions12orders_batch10clear_walk10walk_batch
 4096	   106	first-party	_ZN10clutch_sbf12instructions15observe_resolve26require_archive_projection
 4096	   107	first-party	_ZN10clutch_sbf12instructions12orders_batch9selection25candidate_selection_score
 4096	   107	first-party	_ZN10clutch_sbf12instructions16direct_selection18execute_settlement
 4096	   108	first-party	_ZN10clutch_sbf12instructions12orders_batch11entitlement19rebuild_entitlement
 4096	   110	first-party	_ZN10clutch_sbf12instructions16source_ingest_v222seal_source_archive_v2
 4096	   111	first-party	_ZN10clutch_sbf12instructions8artifact19create_artifact_pda
 4096	   111	first-party	_ZN10clutch_sbf5token14mint_to_signed
 4096	   112	first-party	_ZN10clutch_sbf12instructions12orders_batch7process
 4096	   119	first-party	_ZN10clutch_sbf12instructions15observe_resolve20fold_window_evidence
 4096	   119	first-party	_ZN20clutch_solana_layout6stream15verify_page_set
 4096	   120	first-party	_ZN10clutch_sbf12instructions12orders_batch23prepare_direct_v4_order
 4096	   120	first-party	_ZN10clutch_sbf17source_generation29verify_recorded_sealed_source
 4096	   121	first-party	_ZN10clutch_sbf12instructions16source_ingest_v219init_source_spec_v2
 4096	   121	first-party	_ZN10clutch_sbf12instructions19direct_selection_v38terminal12finish_lapse
 4096	   122	first-party	_ZN10clutch_sbf12instructions11market_init18create_token_plane
 4096	   125	first-party	_ZN10clutch_sbf5token23transfer_checked_signed
 4096	   129	first-party	_ZN10clutch_sbf12instructions7genesis26init_revenue_policy_record
 4096	   130	first-party	_ZN10clutch_sbf12instructions12orders_batch11entitlement23validate_entitled_touch
 4096	   133	first-party	_ZN20clutch_solana_layout6Intent6encode
 4096	   134	first-party	_ZN10clutch_sbf12instructions16direct_selection13select_window
 4096	   136	first-party	_ZN10clutch_sbf12instructions19direct_selection_v38terminal14lapse_selected
 4096	   140	first-party	_ZN10clutch_sbf12instructions19direct_selection_v38terminal12lapse_shared
 4096	   142	first-party	_ZN10clutch_sbf12instructions15resolution_work13prepare_abort
 4096	   143	first-party	_ZN10clutch_sbf12instructions12orders_batch18submit_direct_page
 4096	   143	first-party	_ZN10clutch_sbf12instructions16source_ingest_v220append_authenticated
 4096	   145	first-party	_ZN10clutch_sbf12instructions15resolution_work21abort_state_projected
 4096	   145	first-party	_ZN10clutch_sbf12instructions16direct_selection12freeze_epoch
 4096	   146	first-party	_ZN10clutch_sbf12instructions15resolution_work4fold
 4096	   146	first-party	_ZN10clutch_sbf12instructions19direct_selection_v312freeze_abort17freeze_page_facts
 4096	   146	first-party	_ZN10clutch_sbf12instructions19direct_selection_v36staged6verify
 4096	   152	first-party	_ZN10clutch_sbf12instructions12orders_batch16terminal_closure19close_general_epoch
 4096	   156	first-party	_ZN10clutch_sbf12instructions15resolution_work11commit_fold
 4096	   156	first-party	_ZN10clutch_sbf12instructions16direct_selection25prepare_submission_commit
 4096	   157	first-party	_ZN10clutch_sbf12instructions15resolution_work5begin
 4096	   160	first-party	_ZN10clutch_sbf12instructions16direct_selection16submit_candidate
 4096	   161	first-party	_ZN10clutch_sbf12instructions15resolution_work25prepare_finalize_evidence
 4096	   162	first-party	_ZN10clutch_sbf12instructions19direct_selection_v333create_pda_account_full_principal
 4096	   163	first-party	_ZN10clutch_sbf12instructions12construction25create_market_state_plane
 4096	   163	first-party	_ZN10clutch_sbf12instructions12orders_batch23prepare_placement_boxed
 4096	   165	first-party	_ZN10clutch_sbf12instructions19direct_selection_v38terminal16lapse_unselected
 4096	   166	first-party	_ZN10clutch_sbf12instructions12orders_batch10clear_walk25validate_walk_reservation
 4096	   167	first-party	_ZN10clutch_sbf12instructions11market_init32create_native_market_state_plane
 4096	   172	first-party	_ZN10clutch_sbf12instructions12orders_batch9selection18finalize_selection
 4096	   177	first-party	_ZN10clutch_sbf12instructions12orders_batch16terminal_closure18close_general_page
 4096	   180	first-party	_ZN20clutch_solana_layout6stream21frozen_set_commitment
 4096	   193	first-party	_ZN10clutch_sbf12instructions12orders_batch16terminal_closure28release_terminal_reservation
 4096	   193	first-party	_ZN10clutch_sbf12instructions15resolution_work21prepare_finalize_work
 4096	   199	first-party	_ZN10clutch_sbf12instructions12orders_batch11settle_page
 4096	   200	first-party	_ZN10clutch_sbf12instructions16direct_selection24prepare_selection_commit
 4096	   200	first-party	_ZN10clutch_sbf12instructions7genesis25init_direct_v4_order_page
 4096	   203	first-party	_ZN10clutch_sbf12instructions15resolution_work34validate_work_commitment_projected
 4096	   205	first-party	_ZN10clutch_sbf12instructions12orders_batch9selection16submit_candidate
 4096	   206	first-party	_ZN10clutch_sbf12instructions12orders_batch10clear_work18create_first_stage
 4096	   206	first-party	_ZN10clutch_sbf12instructions12orders_batch11entitlement17entitle_per_slice
 4096	   206	first-party	_ZN10clutch_sbf12instructions15resolution_work24create_fully_funded_work
 4096	   212	first-party	_ZN10clutch_sbf12instructions13external_exit12admit_tokens
 4096	   221	first-party	_ZN10clutch_sbf12instructions12orders_batch11entitlement22entitle_portfolio_pair
 4096	   222	first-party	_ZN10clutch_sbf12instructions12orders_batch11entitlement18freeze_entitlement
 4096	   223	first-party	_ZN10clutch_sbf12instructions7genesis18create_pda_account
 4096	   233	first-party	_ZN10clutch_sbf12instructions12orders_batch9selection14seal_candidate
 4096	   236	first-party	_ZN10clutch_sbf12instructions12orders_batch27prepare_direct_v4_economics
 4096	   239	first-party	_ZN10clutch_sbf12instructions12orders_batch16terminal_closure24close_general_clear_work
 4096	   244	first-party	_ZN10clutch_sbf12instructions12orders_batch11entitlement13entitle_slice
 4096	   245	first-party	_ZN10clutch_sbf12instructions12orders_batch11entitlement21entitle_virtual_slice
 4096	   245	first-party	_ZN10clutch_sbf12instructions16direct_selection6settle
 4096	   246	other	_ZN13clutch_kernel11MarketState5merge
 4096	   247	first-party	_ZN10clutch_sbf12instructions12orders_batch10clear_walk18advance_clear_work
 4096	   261	first-party	_ZN10clutch_sbf12instructions15observe_resolve30apply_legacy_market_resolution
 4096	   265	first-party	_ZN10clutch_sbf12instructions19direct_selection_v312freeze_abort6freeze
 4096	   270	first-party	_ZN10clutch_sbf12instructions15observe_resolve30apply_native_market_resolution
 4096	   271	first-party	_ZN10clutch_sbf12instructions19direct_selection_v312freeze_abort5abort
 4096	   271	first-party	_ZN10clutch_sbf12instructions19direct_selection_v38terminal11lapse_empty
 4096	   275	first-party	_ZN10clutch_sbf12instructions15observe_resolve36apply_resumable_occupation_candidate
 4096	   288	first-party	_ZN20clutch_solana_layout20portfolio_settlement17prepare_full_pair
 4096	   295	first-party	_ZN10clutch_sbf12instructions15resolution_work21begin_state_projected
 4096	   308	first-party	_ZN10clutch_sbf12instructions12orders_batch11entitlement21settle_portfolio_pair
 4096	   333	first-party	_ZN10clutch_sbf9source_v24auth27authenticate_pull_update_v2
 4096	   337	first-party	_ZN10clutch_sbf12instructions16direct_selection10init_epoch
 4096	   349	first-party	_ZN10clutch_sbf12instructions19direct_selection_v310init_epoch
 4096	   363	first-party	_ZN10clutch_sbf12instructions9cash_exit7process
 4096	   364	first-party	_ZN10clutch_sbf12instructions15observe_resolve15recorded_redeem
 4096	   392	first-party	_ZN10clutch_sbf12instructions12orders_batch10settlement25prepare_direct_submission
 4096	   397	first-party	_ZN10clutch_sbf12instructions15observe_resolve25apply_recorded_redemption
 4096	   401	first-party	_ZN10clutch_sbf12instructions15observe_resolve34apply_occupation_market_resolution
 4096	   406	other	_ZN13clutch_kernel11MarketState5split
 4096	   421	first-party	_ZN10clutch_sbf12instructions11market_init7process
 4096	   422	first-party	_ZN10clutch_sbf12instructions12orders_batch11place_order
 4096	   461	first-party	_ZN10clutch_sbf12instructions12orders_batch13general_epoch10init_epoch
