name	version	source	checksum	license
ark-ec	0.4.2	registry+https://github.com/rust-lang/crates.io-index	defd9a439d56ac24968cca0571f598a61bc8c55f71d50a89cda591cb750670ba	MIT/Apache-2.0
ark-ec	0.5.0	registry+https://github.com/rust-lang/crates.io-index	43d68f2d516162846c1238e755a7c4d131b892b70cc70c471a8e3ca3ed818fce	MIT OR Apache-2.0
ark-ff	0.4.2	registry+https://github.com/rust-lang/crates.io-index	ec847af850f44ad29048935519032c33da8aa03340876d351dfab5660d2966ba	MIT/Apache-2.0
ark-ff	0.5.0	registry+https://github.com/rust-lang/crates.io-index	a177aba0ed1e0fbb62aa9f6d0502e9b46dad8c2eab04c14258a1212d2557ea70	MIT OR Apache-2.0
ark-ff-asm	0.4.2	registry+https://github.com/rust-lang/crates.io-index	3ed4aa4fe255d0bc6d79373f7e31d2ea147bcf486cba1be5ba7ea85abdb92348	MIT/Apache-2.0
ark-ff-asm	0.5.0	registry+https://github.com/rust-lang/crates.io-index	62945a2f7e6de02a31fe400aa489f0e0f5b2502e69f95f853adb82a96c7a6b60	MIT OR Apache-2.0
ark-ff-macros	0.4.2	registry+https://github.com/rust-lang/crates.io-index	7abe79b0e4288889c4574159ab790824d0033b9fdcb2a112a3182fac2e514565	MIT/Apache-2.0
ark-ff-macros	0.5.0	registry+https://github.com/rust-lang/crates.io-index	09be120733ee33f7693ceaa202ca41accd5653b779563608f1234f78ae07c4b3	MIT OR Apache-2.0
ark-poly	0.4.2	registry+https://github.com/rust-lang/crates.io-index	d320bfc44ee185d899ccbadfa8bc31aab923ce1558716e1997a1e74057fe86bf	MIT/Apache-2.0
ark-poly	0.5.0	registry+https://github.com/rust-lang/crates.io-index	579305839da207f02b89cd1679e50e67b4331e2f9294a57693e5051b7703fe27	MIT OR Apache-2.0
ark-serialize	0.4.2	registry+https://github.com/rust-lang/crates.io-index	adb7b85a02b83d2f22f89bd5cac66c9c89474240cb6207cb1efc16d098e822a5	MIT/Apache-2.0
ark-serialize	0.5.0	registry+https://github.com/rust-lang/crates.io-index	3f4d068aaf107ebcd7dfb52bc748f8030e0fc930ac8e360146ca54c1203088f7	MIT OR Apache-2.0
ark-serialize-derive	0.4.2	registry+https://github.com/rust-lang/crates.io-index	ae3281bc6d0fd7e549af32b52511e1302185bd688fd3359fa36423346ff682ea	MIT/Apache-2.0
ark-serialize-derive	0.5.0	registry+https://github.com/rust-lang/crates.io-index	213888f660fddcca0d257e88e54ac05bca01885f258ccdf695bafd77031bb69d	MIT OR Apache-2.0
ark-std	0.4.0	registry+https://github.com/rust-lang/crates.io-index	94893f1e0c6eeab764ade8dc4c0db24caf4fe7cbbaafc0eba0a9030f447b5185	MIT/Apache-2.0
ark-std	0.5.0	registry+https://github.com/rust-lang/crates.io-index	246a225cc6131e9ee4f24619af0f19d67761fff15d7ccc22e42b80846e69449a	MIT/Apache-2.0
arrayref	0.3.9	registry+https://github.com/rust-lang/crates.io-index	76a2e8124351fda1ef8aaaa3bbd7ebbcb486bbcd4225aca0aa0d84bb2db8fecb	BSD-2-Clause
arrayvec	0.7.8	registry+https://github.com/rust-lang/crates.io-index	d3fb67a6e08acf24fdeccbac2cb6ac4305825bd1f117462e0e6f2f193345ad56	MIT OR Apache-2.0
ascii	0.9.3	registry+https://github.com/rust-lang/crates.io-index	eab1c04a571841102f5345a8fc0f6bb3d31c315dec879b5c6e42e40ce7ffa34e	Apache-2.0 / MIT
asn1-rs	0.7.2	registry+https://github.com/rust-lang/crates.io-index	b7f43a50ac4fdca5df8e885c21b835997f0a1cdee65494a6847694a98652d9d8	MIT OR Apache-2.0
asn1-rs-derive	0.6.0	registry+https://github.com/rust-lang/crates.io-index	3109e49b1e4909e9db6515a30c633684d68cdeaa252f215214cb4fa1a5bfee2c	MIT OR Apache-2.0
asn1-rs-impl	0.2.0	registry+https://github.com/rust-lang/crates.io-index	7b18050c2cd6fe86c3a76584ef5e0baf286d038cda203eb6223df2cc413565f7	MIT/Apache-2.0
assert_matches	1.5.0	registry+https://github.com/rust-lang/crates.io-index	9b34d609dfbaf33d6889b2b7106d3ca345eacad44200913df5ba02bfd31d2ba9	MIT/Apache-2.0
async-compression	0.4.43	registry+https://github.com/rust-lang/crates.io-index	3976abdc8fe7d1133d43d304afd42abdf5bc3e1319d263d223bde07b5efc4be8	MIT OR Apache-2.0
async-trait	0.1.92	registry+https://github.com/rust-lang/crates.io-index	82f6aeea286b8eb4dd3431a1be1b59d290ace00f5bfd8e2a159bc2a05e2c1667	MIT OR Apache-2.0
atomic-waker	1.1.2	registry+https://github.com/rust-lang/crates.io-index	1505bd5d3d116872e7271a6d4e16d81d0c8570876c8de68093a09ac269d8aac0	Apache-2.0 OR MIT
autocfg	1.5.1	registry+https://github.com/rust-lang/crates.io-index	f2032f911046de80f0a198e0901378627c33f59ea0ac00e363d481118bd70a53	Apache-2.0 OR MIT
aya	0.14.0	registry+https://github.com/rust-lang/crates.io-index	66e644424fada9fff4fdc63848db1732fb69b626e8328202ef55c03df1f4d939	MIT OR Apache-2.0
aya-build	0.1.3	registry+https://github.com/rust-lang/crates.io-index	59bc42f3c5ddacc34eca28a420b47e3cbb3f0f484137cb2bf1ad2153d0eae52a	MIT OR Apache-2.0
aya-ebpf	0.1.1	registry+https://github.com/rust-lang/crates.io-index	d8dbaf5409a1a0982e5c9bdc0f499a55fe5ead39fe9c846012053faf0d404f73	MIT OR Apache-2.0
aya-ebpf-bindings	0.1.2	registry+https://github.com/rust-lang/crates.io-index	71ee8e6a617f040d8da7565ec4010aea75e33cda4662f64c019c66ee97d17889	MIT OR Apache-2.0
aya-ebpf-cty	0.2.3	registry+https://github.com/rust-lang/crates.io-index	e6f33396742e7fd0f519c1e0de5141d84e1a8df69146a557c08cc222b0ceace4	MIT OR Apache-2.0
aya-ebpf-macros	0.1.2	registry+https://github.com/rust-lang/crates.io-index	96fd02363736177e7e91d6c95d7effbca07be87502c7b5b32fc194aed8b177a0	MIT OR Apache-2.0
aya-obj	0.3.0	registry+https://github.com/rust-lang/crates.io-index	8c76b9c75d9cdc155ff8f6a06d61e873f67bf47be8cfa92a3b5aaea43f4b4077	MIT OR Apache-2.0
base16ct	0.2.0	registry+https://github.com/rust-lang/crates.io-index	4c7f02d4ea65f2c1853089ffd8d2787bdbc63de2f0d29dedbcf8ccdfa0ccd4cf	Apache-2.0 OR MIT
base64	0.13.1	registry+https://github.com/rust-lang/crates.io-index	9e1b586273c5702936fe7b7d6896644d8be71e6314cfe09d3167c95f712589e8	MIT/Apache-2.0
base64	0.22.1	registry+https://github.com/rust-lang/crates.io-index	72b3254f16251a8381aa12e40e3c4d2f0199f8c6508fbecb9d91f575e0fbb8c6	MIT OR Apache-2.0
base64ct	1.8.3	registry+https://github.com/rust-lang/crates.io-index	2af50177e190e07a26ab74f8b1efbfe2ef87da2116221318cb1c2e82baf7de06	Apache-2.0 OR MIT
bincode	1.3.3	registry+https://github.com/rust-lang/crates.io-index	b1f45e9417d87227c7a56d22e471c6206462cba514c7590c09aff4cf6d1ddcad	MIT
bitflags	1.3.2	registry+https://github.com/rust-lang/crates.io-index	bef38d45163c2f1dde094a7dfd33ccf595c92905c8f8f4fdc18d06fb1037718a	MIT/Apache-2.0
bitflags	2.13.1	registry+https://github.com/rust-lang/crates.io-index	b588b76d00fde79687d7646a9b5bdf3cc0f655e0bbd080335a95d7e96f3587da	MIT OR Apache-2.0
bitmaps	3.2.1	registry+https://github.com/rust-lang/crates.io-index	a1d084b0137aaa901caf9f1e8b21daa6aa24d41cd806e111335541eff9683bd6	MPL-2.0+
bitvec	1.1.1	registry+https://github.com/rust-lang/crates.io-index	ddcec3d12c579d40898fe0a9a358a803c23e9c52ca3c425707f81c9436211837	MIT
blake3	1.8.6	registry+https://github.com/rust-lang/crates.io-index	76ae7bad254120e9e4c63bafc385310756f90c484eac0e36b8317cf09cb92a77	CC0-1.0 OR Apache-2.0 OR Apache-2.0 WITH LLVM-exception
block-buffer	0.10.4	registry+https://github.com/rust-lang/crates.io-index	3078c7629b62d3f0439517fa394996acacc5cbc91c5a20d8c658e77abd503a71	MIT OR Apache-2.0
block-buffer	0.12.1	registry+https://github.com/rust-lang/crates.io-index	d2f6c7dbe95a6ed67ad9f18e57daf93a2f034c524b99fd2b76d18fdfeb6660aa	MIT OR Apache-2.0
block-buffer	0.9.0	registry+https://github.com/rust-lang/crates.io-index	4152116fd6e9dadb291ae18fc1ec3575ed6d84c29642d97890f4b4a3417297e4	MIT OR Apache-2.0
