ok,0,0,0,2,5
ok,0,0,0,0,7
ok,0,0,0,0,7
ok,0,0,0,0,7
ok,0,0,0,0,7
ok,0,0,0,0,7
ok,8,0,0,0,0
ok,6,2,0,0,0
ok,4,4,0,0,0
ok,2,6,0,0,0
ok,0,8,0,0,0
ok,0,6,2,0,0
ok,0,4,4,0,0
ok,0,2,6,0,0
ok,0,0,8,0,0
ok,0,0,6,2,0
ok,0,0,4,4,0
ok,0,0,2,6,0
ok,0,0,0,8,0
ok,0,0,0,6,2
ok,0,0,0,4,4
ok,0,0,0,2,6
ok,0,0,0,0,8
ok,0,0,0,0,8
ok,0,0,0,0,8
ok,0,0,0,0,8
ok,0,0,0,0,8
ok,16,0,0,0,0
ok,12,4,0,0,0
ok,8,8,0,0,0
ok,4,12,0,0,0
ok,0,16,0,0,0
ok,0,12,4,0,0
ok,0,8,8,0,0
ok,0,4,12,0,0
ok,0,0,16,0,0
ok,0,0,12,4,0
ok,0,0,8,8,0
ok,0,0,4,12,0
ok,0,0,0,16,0
ok,0,0,0,12,4
ok,0,0,0,8,8
ok,0,0,0,4,12
ok,0,0,0,0,16
ok,0,0,0,0,16
ok,0,0,0,0,16
ok,0,0,0,0,16
ok,0,0,0,0,16
ok,63,0,0,0,0
ok,47,16,0,0,0
ok,32,31,0,0,0
ok,16,47,0,0,0
ok,0,63,0,0,0
ok,0,47,16,0,0
ok,0,32,31,0,0
ok,0,16,47,0,0
ok,0,0,63,0,0
ok,0,0,47,16,0
ok,0,0,32,31,0
ok,0,0,16,47,0
ok,0,0,0,63,0
ok,0,0,0,47,16
ok,0,0,0,32,31
ok,0,0,0,16,47
ok,0,0,0,0,63
ok,0,0,0,0,63
ok,0,0,0,0,63
ok,0,0,0,0,63
ok,0,0,0,0,63
ok,1000,0,0,0,0
ok,750,250,0,0,0
ok,500,500,0,0,0
ok,250,750,0,0,0
ok,0,1000,0,0,0
ok,0,750,250,0,0
ok,0,500,500,0,0
ok,0,250,750,0,0
ok,0,0,1000,0,0
ok,0,0,750,250,0
ok,0,0,500,500,0
ok,0,0,250,750,0
ok,0,0,0,1000,0
ok,0,0,0,750,250
ok,0,0,0,500,500
ok,0,0,0,250,750
ok,0,0,0,0,1000
ok,0,0,0,0,1000
ok,0,0,0,0,1000
ok,0,0,0,0,1000
ok,0,0,0,0,1000
ok,1,0,0,0,0,0
ok,1,0,0,0,0,0
ok,0,1,0,0,0,0
ok,0,1,0,0,0,0
ok,0,1,0,0,0,0
ok,0,0,1,0,0,0
ok,0,0,1,0,0,0
ok,0,0,1,0,0,0
ok,0,0,1,0,0,0
ok,0,0,0,1,0,0
ok,0,0,0,1,0,0
ok,0,0,0,1,0,0
ok,0,0,0,1,0,0
ok,0,0,0,0,1,0
ok,0,0,0,0,1,0
ok,0,0,0,0,0,1
ok,0,0,0,0,0,1
ok,0,0,0,0,0,1
ok,0,0,0,0,0,1
ok,0,0,0,0,0,1
ok,0,0,0,0,0,1
ok,2,0,0,0,0,0
ok,1,1,0,0,0,0
ok,1,1,0,0,0,0
ok,0,1,1,0,0,0
ok,0,1,1,0,0,0
ok,0,1,1,0,0,0
ok,0,0,2,0,0,0
ok,0,0,1,1,0,0
ok,0,0,1,1,0,0
ok,0,0,1,1,0,0
ok,0,0,0,2,0,0
ok,0,0,0,1,1,0
ok,0,0,0,1,1,0
ok,0,0,0,1,1,0
ok,0,0,0,0,1,1
ok,0,0,0,0,1,1
ok,0,0,0,0,0,2
ok,0,0,0,0,0,2
ok,0,0,0,0,0,2
ok,0,0,0,0,0,2
ok,0,0,0,0,0,2
ok,3,0,0,0,0,0
